# stan_version_major = 2
# stan_version_minor = 5
# stan_version_patch = 0
# model = VectorOne_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 2
# data
#   file = VectorOne_2.data.R
# init = 2 (Default)
# random
#   seed = 899884141
# output
#   file = VectorOne_samples_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,L.1.1,L.2.1,L.1.2,L.2.2,tau.1,tau.2,u.1.1,u.2.1,u.3.1,u.4.1,u.5.1,u.6.1,u.7.1,u.8.1,u.9.1,u.10.1,u.11.1,u.12.1,u.13.1,u.14.1,u.15.1,u.16.1,u.17.1,u.18.1,u.1.2,u.2.2,u.3.2,u.4.2,u.5.2,u.6.2,u.7.2,u.8.2,u.9.2,u.10.2,u.11.2,u.12.2,u.13.2,u.14.2,u.15.2,u.16.2,u.17.2,u.18.2,beta.1,beta.2,sigma,Lambda.1.1,Lambda.2.1,Lambda.1.2,Lambda.2.2,corr.1.1,corr.2.1,corr.1.2,corr.2.2,b.1.1,b.2.1,b.3.1,b.4.1,b.5.1,b.6.1,b.7.1,b.8.1,b.9.1,b.10.1,b.11.1,b.12.1,b.13.1,b.14.1,b.15.1,b.16.1,b.17.1,b.18.1,b.1.2,b.2.2,b.3.2,b.4.2,b.5.2,b.6.2,b.7.2,b.8.2,b.9.2,b.10.2,b.11.2,b.12.2,b.13.2,b.14.2,b.15.2,b.16.2,b.17.2,b.18.2,muX.1,muX.2,muX.3,muX.4,muX.5,muX.6,muX.7,muX.8,muX.9,muX.10,muX.11,muX.12,muX.13,muX.14,muX.15,muX.16,muX.17,muX.18,muX.19,muX.20,muX.21,muX.22,muX.23,muX.24,muX.25,muX.26,muX.27,muX.28,muX.29,muX.30,muX.31,muX.32,muX.33,muX.34,muX.35,muX.36,muX.37,muX.38,muX.39,muX.40,muX.41,muX.42,muX.43,muX.44,muX.45,muX.46,muX.47,muX.48,muX.49,muX.50,muX.51,muX.52,muX.53,muX.54,muX.55,muX.56,muX.57,muX.58,muX.59,muX.60,muX.61,muX.62,muX.63,muX.64,muX.65,muX.66,muX.67,muX.68,muX.69,muX.70,muX.71,muX.72,muX.73,muX.74,muX.75,muX.76,muX.77,muX.78,muX.79,muX.80,muX.81,muX.82,muX.83,muX.84,muX.85,muX.86,muX.87,muX.88,muX.89,muX.90,muX.91,muX.92,muX.93,muX.94,muX.95,muX.96,muX.97,muX.98,muX.99,muX.100,muX.101,muX.102,muX.103,muX.104,muX.105,muX.106,muX.107,muX.108,muX.109,muX.110,muX.111,muX.112,muX.113,muX.114,muX.115,muX.116,muX.117,muX.118,muX.119,muX.120,muX.121,muX.122,muX.123,muX.124,muX.125,muX.126,muX.127,muX.128,muX.129,muX.130,muX.131,muX.132,muX.133,muX.134,muX.135,muX.136,muX.137,muX.138,muX.139,muX.140,muX.141,muX.142,muX.143,muX.144,muX.145,muX.146,muX.147,muX.148,muX.149,muX.150,muX.151,muX.152,muX.153,muX.154,muX.155,muX.156,muX.157,muX.158,muX.159,muX.160,muX.161,muX.162,muX.163,muX.164,muX.165,muX.166,muX.167,muX.168,muX.169,muX.170,muX.171,muX.172,muX.173,muX.174,muX.175,muX.176,muX.177,muX.178,muX.179,muX.180,mu.1,mu.2,mu.3,mu.4,mu.5,mu.6,mu.7,mu.8,mu.9,mu.10,mu.11,mu.12,mu.13,mu.14,mu.15,mu.16,mu.17,mu.18,mu.19,mu.20,mu.21,mu.22,mu.23,mu.24,mu.25,mu.26,mu.27,mu.28,mu.29,mu.30,mu.31,mu.32,mu.33,mu.34,mu.35,mu.36,mu.37,mu.38,mu.39,mu.40,mu.41,mu.42,mu.43,mu.44,mu.45,mu.46,mu.47,mu.48,mu.49,mu.50,mu.51,mu.52,mu.53,mu.54,mu.55,mu.56,mu.57,mu.58,mu.59,mu.60,mu.61,mu.62,mu.63,mu.64,mu.65,mu.66,mu.67,mu.68,mu.69,mu.70,mu.71,mu.72,mu.73,mu.74,mu.75,mu.76,mu.77,mu.78,mu.79,mu.80,mu.81,mu.82,mu.83,mu.84,mu.85,mu.86,mu.87,mu.88,mu.89,mu.90,mu.91,mu.92,mu.93,mu.94,mu.95,mu.96,mu.97,mu.98,mu.99,mu.100,mu.101,mu.102,mu.103,mu.104,mu.105,mu.106,mu.107,mu.108,mu.109,mu.110,mu.111,mu.112,mu.113,mu.114,mu.115,mu.116,mu.117,mu.118,mu.119,mu.120,mu.121,mu.122,mu.123,mu.124,mu.125,mu.126,mu.127,mu.128,mu.129,mu.130,mu.131,mu.132,mu.133,mu.134,mu.135,mu.136,mu.137,mu.138,mu.139,mu.140,mu.141,mu.142,mu.143,mu.144,mu.145,mu.146,mu.147,mu.148,mu.149,mu.150,mu.151,mu.152,mu.153,mu.154,mu.155,mu.156,mu.157,mu.158,mu.159,mu.160,mu.161,mu.162,mu.163,mu.164,mu.165,mu.166,mu.167,mu.168,mu.169,mu.170,mu.171,mu.172,mu.173,mu.174,mu.175,mu.176,mu.177,mu.178,mu.179,mu.180
# Adaptation terminated
# Step size = 0.128054
# Diagonal elements of inverse mass matrix:
# 0.0929663, 0.0848268, 0.00432929, 208.168, 223.906, 234.776, 263.95, 227.588, 268.228, 206.749, 185.991, 163.637, 166.45, 184.066, 182.415, 194.367, 166.26, 173.6, 155.53, 265.557, 241.958, 226.035, 254.525, 191.989, 206.692, 190.114, 162.258, 155.736, 156.918, 183.246, 175.061, 169.597, 152.134, 164.422, 210.451, 173.029, 180.423, 189.644, 201.947, 54.0647, 2.92332, 0.00384276

-800.948,0.929842,0.128054,5,31,0,1,-0.13233,0,0.991206,-1.53189,0.215363,-3.20501,32.5305,35.5279,-19.4501,-14.7925,-4.78737,-8.35908,22.2344,-10.5495,-35.9759,24.1275,4.23395,-4.261,-17.7451,-2.29776,30.58,-3.77522,-17.7784,50.0064,-11.435,-3.73697,-26.7041,-2.40581,3.59857,-7.77214,42.8901,-66.9026,19.6757,15.3727,40.4694,-6.48123,20.505,5.53255,50.9245,-3.95588,3.86169,248.053,10.1252,25.4433,-1.53189,-0.028499,-0,0.213469,1,-0.13233,-0.13233,1,4.90972,-49.8331,-54.4248,29.7954,22.6605,7.33372,12.8052,-34.0606,16.1606,55.1111,-36.9607,-6.48595,6.52739,27.1835,3.51992,-46.8452,5.78323,27.2345,10.7662,-3.3681,-1.81024,-5.1462,-0.0919942,0.904618,-1.42089,8.52205,-13.981,5.22543,2.59399,8.51829,-1.26211,4.88289,1.24651,9.99931,-0.736867,1.33102,248.053,258.178,268.303,278.428,288.554,298.679,308.804,318.929,329.054,339.179,248.053,258.178,268.303,278.428,288.554,298.679,308.804,318.929,329.054,339.179,248.053,258.178,268.303,278.428,288.554,298.679,308.804,318.929,329.054,339.179,248.053,258.178,268.303,278.428,288.554,298.679,308.804,318.929,329.054,339.179,248.053,258.178,268.303,278.428,288.554,298.679,308.804,318.929,329.054,339.179,248.053,258.178,268.303,278.428,288.554,298.679,308.804,318.929,329.054,339.179,248.053,258.178,268.303,278.428,288.554,298.679,308.804,318.929,329.054,339.179,248.053,258.178,268.303,278.428,288.554,298.679,308.804,318.929,329.054,339.179,248.053,258.178,268.303,278.428,288.554,298.679,308.804,318.929,329.054,339.179,248.053,258.178,268.303,278.428,288.554,298.679,308.804,318.929,329.054,339.179,248.053,258.178,268.303,278.428,288.554,298.679,308.804,318.929,329.054,339.179,248.053,258.178,268.303,278.428,288.554,298.679,308.804,318.929,329.054,339.179,248.053,258.178,268.303,278.428,288.554,298.679,308.804,318.929,329.054,339.179,248.053,258.178,268.303,278.428,288.554,298.679,308.804,318.929,329.054,339.179,248.053,258.178,268.303,278.428,288.554,298.679,308.804,318.929,329.054,339.179,248.053,258.178,268.303,278.428,288.554,298.679,308.804,318.929,329.054,339.179,248.053,258.178,268.303,278.428,288.554,298.679,308.804,318.929,329.054,339.179,248.053,258.178,268.303,278.428,288.554,298.679,308.804,318.929,329.054,339.179,252.963,273.854,294.745,315.637,336.528,357.419,378.311,399.202,420.093,440.985,198.22,204.977,211.734,218.491,225.248,232.005,238.762,245.519,252.276,259.034,193.628,201.943,210.258,218.573,226.888,235.203,243.518,251.833,260.148,268.463,277.848,282.827,287.806,292.785,297.764,302.743,307.722,312.701,317.68,322.659,270.713,280.747,290.78,300.813,310.846,320.879,330.912,340.946,350.979,361.012,255.387,266.416,277.446,288.476,299.506,310.536,321.565,332.595,343.625,354.655,260.858,269.562,278.267,286.971,295.675,304.379,313.084,321.788,330.492,339.197,213.992,232.639,251.287,269.934,288.581,307.228,325.876,344.523,363.17,381.817,264.213,260.358,256.502,252.646,248.79,244.934,241.079,237.223,233.367,229.511,303.164,318.515,333.865,349.216,364.566,379.917,395.268,410.618,425.969,441.319,211.092,223.811,236.53,249.25,261.969,274.688,287.407,300.126,312.846,325.565,241.567,260.21,278.854,297.497,316.141,334.784,353.428,372.071,390.715,409.358,254.58,263.443,272.306,281.169,290.033,298.896,307.759,316.622,325.485,334.348,275.236,290.244,305.253,320.261,335.269,350.277,365.285,380.293,395.301,410.309,251.573,262.944,274.316,285.688,297.06,308.431,319.803,331.175,342.546,353.918,201.208,221.332,241.457,261.581,281.706,301.83,321.955,342.079,362.204,382.328,253.836,263.224,272.613,282.001,291.389,300.778,310.166,319.554,328.943,338.331,275.287,286.744,298.2,309.656,321.112,332.568,344.025,355.481,366.937,378.393
-795.804,1,0.128054,5,31,0,1,-0.173483,0,0.984837,-1.04357,0.333289,-6.88463,25.7738,32.2156,-19.5459,-27.3909,-12.8667,-24.2669,-2.5061,23.8997,-22.673,30.2174,13.4205,2.62086,-23.5156,11.8206,3.27588,-6.46389,-11.3889,30.4906,-24.2994,-10.3305,-19.7663,-25.7104,-2.51275,0.736751,-2.78311,-14.2435,26.9239,14.865,27.5459,-5.39311,7.63612,20.2012,8.50103,-4.01985,4.23221,250.243,9.5442,24.0482,-1.04357,-0.05782,-0,0.328235,1,-0.173483,-0.173483,1,7.1846,-26.8968,-33.6192,20.3976,28.5843,13.4273,25.3243,2.61529,-24.941,23.6609,-31.534,-14.0053,-2.73505,24.5402,-12.3357,-3.41862,6.74553,11.8852,10.4062,-9.46617,-5.25355,-5.35784,-6.85533,-0.0808224,1.64494,-0.768614,-6.05711,10.1483,3.13205,8.26555,-1.92175,3.86612,5.9473,2.60093,-0.945715,2.04767,250.243,259.787,269.331,278.875,288.42,297.964,307.508,317.052,326.596,336.141,250.243,259.787,269.331,278.875,288.42,297.964,307.508,317.052,326.596,336.141,250.243,259.787,269.331,278.875,288.42,297.964,307.508,317.052,326.596,336.141,250.243,259.787,269.331,278.875,288.42,297.964,307.508,317.052,326.596,336.141,250.243,259.787,269.331,278.875,288.42,297.964,307.508,317.052,326.596,336.141,250.243,259.787,269.331,278.875,288.42,297.964,307.508,317.052,326.596,336.141,250.243,259.787,269.331,278.875,288.42,297.964,307.508,317.052,326.596,336.141,250.243,259.787,269.331,278.875,288.42,297.964,307.508,317.052,326.596,336.141,250.243,259.787,269.331,278.875,288.42,297.964,307.508,317.052,326.596,336.141,250.243,259.787,269.331,278.875,288.42,297.964,307.508,317.052,326.596,336.141,250.243,259.787,269.331,278.875,288.42,297.964,307.508,317.052,326.596,336.141,250.243,259.787,269.331,278.875,288.42,297.964,307.508,317.052,326.596,336.141,250.243,259.787,269.331,278.875,288.42,297.964,307.508,317.052,326.596,336.141,250.243,259.787,269.331,278.875,288.42,297.964,307.508,317.052,326.596,336.141,250.243,259.787,269.331,278.875,288.42,297.964,307.508,317.052,326.596,336.141,250.243,259.787,269.331,278.875,288.42,297.964,307.508,317.052,326.596,336.141,250.243,259.787,269.331,278.875,288.42,297.964,307.508,317.052,326.596,336.141,250.243,259.787,269.331,278.875,288.42,297.964,307.508,317.052,326.596,336.141,257.427,277.378,297.328,317.278,337.229,357.179,377.13,397.08,417.03,436.981,223.346,223.424,223.502,223.58,223.658,223.736,223.814,223.892,223.97,224.048,216.623,220.914,225.205,229.495,233.786,238.077,242.367,246.658,250.949,255.239,270.64,274.827,279.013,283.199,287.386,291.572,295.758,299.945,304.131,308.318,278.827,281.516,284.205,286.894,289.583,292.271,294.96,297.649,300.338,303.027,263.67,273.133,282.597,292.06,301.524,310.987,320.45,329.914,339.377,348.84,275.567,286.756,297.945,309.134,320.324,331.513,342.702,353.891,365.08,376.269,252.858,261.634,270.409,279.185,287.96,296.736,305.512,314.287,323.063,331.838,225.302,228.789,232.276,235.763,239.25,242.737,246.224,249.711,253.198,256.686,273.904,293.596,313.289,332.981,352.674,372.366,392.059,411.751,431.444,451.136,218.709,231.385,244.061,256.737,269.414,282.09,294.766,307.442,320.119,332.795,236.237,254.047,271.857,289.667,307.476,325.286,343.096,360.906,378.715,396.525,247.508,255.13,262.753,270.375,277.997,285.62,293.242,300.865,308.487,316.11,274.783,288.193,301.604,315.014,328.424,341.835,355.245,368.655,382.066,395.476,237.907,253.399,268.89,284.382,299.873,315.365,330.856,346.348,361.839,377.331,246.824,258.969,271.114,283.259,295.405,307.55,319.695,331.84,343.985,356.13,256.988,265.587,274.185,282.784,291.382,299.981,308.579,317.178,325.776,334.375,262.128,273.72,285.312,296.904,308.495,320.087,331.679,343.271,354.863,366.455
-799.447,0.961207,0.128054,5,31,0,1,-0.254294,0,0.967127,-0.936951,0.350538,-3.27407,53.6354,35.2739,-21.3001,-28.6375,12.0582,-14.563,12.1451,-25.8013,-31.6536,20.4136,17.6128,3.3803,-19.2456,-29.4588,39.7273,3.26142,-15.1394,29.6929,-13.9902,-14.1681,-11.4115,-5.8789,14.9313,-9.33896,11.3437,-47.6193,23.2764,12.5873,29.7179,-1.4387,9.0652,-16.0777,32.1928,1.13745,3.37141,248.34,10.0454,25.7292,-0.936951,-0.0891397,-0,0.339015,1,-0.254294,-0.254294,1,3.06765,-50.2538,-33.0499,19.9571,26.8319,-11.298,13.6448,-11.3794,24.1745,29.6579,-19.1266,-16.5024,-3.16718,18.0322,27.6014,-37.2226,-3.05579,14.1849,10.3582,-9.52391,-7.9475,-1.96999,0.559703,3.98707,-1.8679,2.76306,-13.8437,10.7126,2.44762,8.50479,-0.789059,4.78878,-2.82463,7.37254,0.09489,2.49248,248.34,258.386,268.431,278.476,288.522,298.567,308.613,318.658,328.704,338.749,248.34,258.386,268.431,278.476,288.522,298.567,308.613,318.658,328.704,338.749,248.34,258.386,268.431,278.476,288.522,298.567,308.613,318.658,328.704,338.749,248.34,258.386,268.431,278.476,288.522,298.567,308.613,318.658,328.704,338.749,248.34,258.386,268.431,278.476,288.522,298.567,308.613,318.658,328.704,338.749,248.34,258.386,268.431,278.476,288.522,298.567,308.613,318.658,328.704,338.749,248.34,258.386,268.431,278.476,288.522,298.567,308.613,318.658,328.704,338.749,248.34,258.386,268.431,278.476,288.522,298.567,308.613,318.658,328.704,338.749,248.34,258.386,268.431,278.476,288.522,298.567,308.613,318.658,328.704,338.749,248.34,258.386,268.431,278.476,288.522,298.567,308.613,318.658,328.704,338.749,248.34,258.386,268.431,278.476,288.522,298.567,308.613,318.658,328.704,338.749,248.34,258.386,268.431,278.476,288.522,298.567,308.613,318.658,328.704,338.749,248.34,258.386,268.431,278.476,288.522,298.567,308.613,318.658,328.704,338.749,248.34,258.386,268.431,278.476,288.522,298.567,308.613,318.658,328.704,338.749,248.34,258.386,268.431,278.476,288.522,298.567,308.613,318.658,328.704,338.749,248.34,258.386,268.431,278.476,288.522,298.567,308.613,318.658,328.704,338.749,248.34,258.386,268.431,278.476,288.522,298.567,308.613,318.658,328.704,338.749,248.34,258.386,268.431,278.476,288.522,298.567,308.613,318.658,328.704,338.749,251.408,271.811,292.215,312.619,333.022,353.426,373.829,394.233,414.637,435.04,198.086,198.608,199.129,199.651,200.172,200.694,201.216,201.737,202.259,202.78,215.29,217.388,219.486,221.584,223.682,225.78,227.878,229.976,232.074,234.172,268.297,276.373,284.448,292.524,300.599,308.675,316.75,324.825,332.901,340.976,275.172,285.777,296.382,306.988,317.593,328.198,338.803,349.408,360.013,370.618,237.042,251.075,265.107,279.14,293.172,307.205,321.237,335.27,349.302,363.335,261.985,270.163,278.34,286.518,294.695,302.873,311.05,319.228,327.405,335.583,236.961,249.769,262.578,275.386,288.195,301.003,313.812,326.62,339.429,352.237,272.515,268.716,264.918,261.12,257.322,253.523,249.725,245.927,242.129,238.33,277.998,298.756,319.514,340.272,361.03,381.788,402.546,423.304,444.063,464.821,229.214,241.707,254.2,266.693,279.186,291.679,304.172,316.665,329.158,341.651,231.838,250.388,268.938,287.488,306.039,324.589,343.139,361.689,380.24,398.79,245.173,254.429,263.686,272.942,282.198,291.455,300.711,309.968,319.224,328.48,266.372,281.207,296.041,310.875,325.709,340.543,355.378,370.212,385.046,399.88,275.942,283.162,290.383,297.604,304.825,312.046,319.266,326.487,333.708,340.929,211.118,228.536,245.954,263.372,280.789,298.207,315.625,333.043,350.461,367.879,245.284,255.425,265.565,275.705,285.846,295.986,306.126,316.267,326.407,336.547,262.525,275.063,287.601,300.139,312.677,325.215,337.753,350.29,362.828,375.366
-809.001,0.99665,0.128054,5,31,0,1,0.045808,0,0.99895,-1.03652,0.174112,-10.2653,29.3193,47.6926,-30.4021,-10.6382,-22.93,-29.1136,1.66688,22.2652,-45.8585,32.6083,10.2426,-24.6934,-33.0129,13.6575,12.5793,-8.29452,-15.9212,61.0376,-39.6967,-19.0492,-31.5784,-2.367,-2.05292,12.4192,22.023,-27.5392,54.1017,17.4682,47.233,-23.7022,19.3144,46.9828,26.1623,-1.61385,13.5376,242.193,9.24164,27.1869,-1.03652,0.00797571,-0,0.173929,1,0.045808,0.045808,1,10.6402,-30.39,-49.4343,31.5124,11.0267,23.7674,30.1768,-1.72776,-23.0783,47.5332,-33.7992,-10.6167,25.5951,34.2185,-14.1563,-13.0387,8.59743,16.5026,10.5343,-6.67056,-2.93283,-5.73487,-0.496537,-0.539946,1.92787,3.84373,-4.61228,9.0441,3.29829,8.29689,-4.31945,3.09604,8.2806,4.65072,-0.34685,2.2276,242.193,251.435,260.676,269.918,279.16,288.401,297.643,306.885,316.126,325.368,242.193,251.435,260.676,269.918,279.16,288.401,297.643,306.885,316.126,325.368,242.193,251.435,260.676,269.918,279.16,288.401,297.643,306.885,316.126,325.368,242.193,251.435,260.676,269.918,279.16,288.401,297.643,306.885,316.126,325.368,242.193,251.435,260.676,269.918,279.16,288.401,297.643,306.885,316.126,325.368,242.193,251.435,260.676,269.918,279.16,288.401,297.643,306.885,316.126,325.368,242.193,251.435,260.676,269.918,279.16,288.401,297.643,306.885,316.126,325.368,242.193,251.435,260.676,269.918,279.16,288.401,297.643,306.885,316.126,325.368,242.193,251.435,260.676,269.918,279.16,288.401,297.643,306.885,316.126,325.368,242.193,251.435,260.676,269.918,279.16,288.401,297.643,306.885,316.126,325.368,242.193,251.435,260.676,269.918,279.16,288.401,297.643,306.885,316.126,325.368,242.193,251.435,260.676,269.918,279.16,288.401,297.643,306.885,316.126,325.368,242.193,251.435,260.676,269.918,279.16,288.401,297.643,306.885,316.126,325.368,242.193,251.435,260.676,269.918,279.16,288.401,297.643,306.885,316.126,325.368,242.193,251.435,260.676,269.918,279.16,288.401,297.643,306.885,316.126,325.368,242.193,251.435,260.676,269.918,279.16,288.401,297.643,306.885,316.126,325.368,242.193,251.435,260.676,269.918,279.16,288.401,297.643,306.885,316.126,325.368,242.193,251.435,260.676,269.918,279.16,288.401,297.643,306.885,316.126,325.368,252.833,272.609,292.385,312.161,331.937,351.713,371.489,391.265,411.041,430.817,211.803,214.374,216.945,219.516,222.087,224.658,227.23,229.801,232.372,234.943,192.759,199.068,205.376,211.685,217.994,224.303,230.612,236.92,243.229,249.538,273.706,277.212,280.719,284.226,287.733,291.239,294.746,298.253,301.76,305.266,253.22,261.965,270.71,279.455,288.2,296.945,305.69,314.436,323.181,331.926,265.961,274.662,283.364,292.066,300.767,309.469,318.171,326.872,335.574,344.276,272.37,283.539,294.709,305.878,317.048,328.217,339.387,350.556,361.726,372.895,240.465,253.551,266.636,279.721,292.807,305.892,318.978,332.063,345.148,358.234,219.115,223.744,228.374,233.003,237.632,242.262,246.891,251.52,256.15,260.779,289.726,308.012,326.298,344.584,362.869,381.155,399.441,417.726,436.012,454.298,208.394,220.934,233.474,246.014,258.554,271.094,283.634,296.173,308.713,321.253,231.576,249.115,266.653,284.192,301.731,319.269,336.808,354.346,371.885,389.423,267.788,272.71,277.633,282.555,287.477,292.399,297.321,302.244,307.166,312.088,276.412,288.749,301.087,313.425,325.762,338.1,350.438,362.775,375.113,387.451,228.037,245.559,263.081,280.604,298.126,315.648,333.17,350.692,368.215,385.737,229.154,243.047,256.939,270.832,284.724,298.616,312.509,326.401,340.293,354.186,250.791,259.685,268.58,277.475,286.37,295.264,304.159,313.054,321.949,330.844,258.696,270.165,281.634,293.103,304.573,316.042,327.511,338.98,350.45,361.919
-813.316,0.969889,0.128054,5,31,0,1,-0.320552,0,0.947231,-1.00674,0.25158,7.08615,-0.125203,29.2178,-34.0028,-21.609,-6.0475,-14.6142,4.6764,-6.93319,-50.3527,11.3728,14.215,-20.2258,4.70781,0.104482,34.0093,-3.9941,-35.3941,57.4113,-57.5749,-15.3126,-14.187,4.66743,12.6855,-6.16439,2.38008,-36.1919,19.5065,11.5395,38.018,-19.6685,44.1469,9.56201,54.5084,3.3206,-8.91534,251.953,8.3035,26.8119,-1.00674,-0.0806443,-0,0.238304,1,-0.320552,-0.320552,1,-7.13393,0.126048,-29.4148,34.2321,21.7547,6.08827,14.7128,-4.70793,6.97994,50.6922,-11.4495,-14.3109,20.3622,-4.73955,-0.105186,-34.2386,4.02103,35.6328,13.1099,-13.7102,-6.00532,-0.638697,2.85491,3.5107,-0.290445,0.190057,-8.06555,8.70915,1.83276,7.91348,-3.056,10.1407,2.27024,10.2469,1.11341,0.729775,251.953,260.256,268.56,276.863,285.167,293.47,301.774,310.077,318.381,326.684,251.953,260.256,268.56,276.863,285.167,293.47,301.774,310.077,318.381,326.684,251.953,260.256,268.56,276.863,285.167,293.47,301.774,310.077,318.381,326.684,251.953,260.256,268.56,276.863,285.167,293.47,301.774,310.077,318.381,326.684,251.953,260.256,268.56,276.863,285.167,293.47,301.774,310.077,318.381,326.684,251.953,260.256,268.56,276.863,285.167,293.47,301.774,310.077,318.381,326.684,251.953,260.256,268.56,276.863,285.167,293.47,301.774,310.077,318.381,326.684,251.953,260.256,268.56,276.863,285.167,293.47,301.774,310.077,318.381,326.684,251.953,260.256,268.56,276.863,285.167,293.47,301.774,310.077,318.381,326.684,251.953,260.256,268.56,276.863,285.167,293.47,301.774,310.077,318.381,326.684,251.953,260.256,268.56,276.863,285.167,293.47,301.774,310.077,318.381,326.684,251.953,260.256,268.56,276.863,285.167,293.47,301.774,310.077,318.381,326.684,251.953,260.256,268.56,276.863,285.167,293.47,301.774,310.077,318.381,326.684,251.953,260.256,268.56,276.863,285.167,293.47,301.774,310.077,318.381,326.684,251.953,260.256,268.56,276.863,285.167,293.47,301.774,310.077,318.381,326.684,251.953,260.256,268.56,276.863,285.167,293.47,301.774,310.077,318.381,326.684,251.953,260.256,268.56,276.863,285.167,293.47,301.774,310.077,318.381,326.684,251.953,260.256,268.56,276.863,285.167,293.47,301.774,310.077,318.381,326.684,244.819,266.232,287.646,309.059,330.473,351.886,373.299,394.713,416.126,437.54,252.079,246.672,241.266,235.859,230.452,225.045,219.639,214.232,208.825,203.418,222.538,224.836,227.135,229.433,231.731,234.029,236.327,238.625,240.924,243.222,286.185,293.85,301.515,309.179,316.844,324.509,332.174,339.839,347.503,355.168,273.708,284.866,296.024,307.183,318.341,329.5,340.658,351.816,362.975,374.133,258.041,269.855,281.67,293.484,305.298,317.112,328.926,340.741,352.555,364.369,266.666,274.679,282.692,290.705,298.718,306.731,314.744,322.757,330.77,338.783,247.245,255.739,264.232,272.726,281.219,289.713,298.206,306.7,315.194,323.687,258.933,259.171,259.409,259.647,259.885,260.123,260.361,260.599,260.837,261.074,302.645,319.658,336.671,353.683,370.696,387.708,404.721,421.734,438.746,455.759,240.503,250.64,260.776,270.912,281.048,291.185,301.321,311.457,321.594,331.73,237.642,253.859,270.076,286.293,302.51,318.727,334.944,351.161,367.378,383.595,272.315,277.563,282.81,288.058,293.305,298.553,303.8,309.048,314.295,319.543,247.213,265.658,284.102,302.546,320.99,339.435,357.879,376.323,394.767,413.211,251.848,262.422,272.995,283.569,294.143,304.716,315.29,325.864,336.438,347.011,217.714,236.265,254.815,273.366,291.916,310.466,329.017,347.567,366.118,384.668,255.974,265.391,274.808,284.225,293.642,303.059,312.475,321.892,331.309,340.726,287.586,296.619,305.652,314.686,323.719,332.752,341.785,350.819,359.852,368.885
